genotype,part,rep_bio,rep_tech,pente,protein
WT,shoot,1,1,5,0.005
WT,shoot,1,2,4.9,0.005
WT,shoot,2,1,4.5,0.005
WT,shoot,2,2,4.8,0.005
nqr,shoot,1,1,3.5,0.005
nqr,shoot,1,2,4,0.005
nqr,shoot,2,1,3.8,0.005
nqr,shoot,2,2,4,0.005
fqr1,shoot,1,1,3.8,0.005
fqr1,shoot,1,2,3.1,0.005
fqr1,shoot,2,1,5.2,0.005
fqr1,shoot,2,2,4.4,0.005
nqrfqr1,shoot,1,1,4.3,0.005
nqrfqr1,shoot,1,2,4.1,0.005
nqrfqr1,shoot,2,1,4.1,0.005
nqrfqr1,shoot,2,2,3.9,0.005
WT,root,1,1,0.9,0.005
WT,root,1,2,0.9,0.005
WT,root,2,1,0.7,0.005
WT,root,2,2,0.6,0.005
nqr,root,1,1,0.9,0.005
nqr,root,1,2,0.9,0.005
nqr,root,2,1,1.5,0.005
nqr,root,2,2,1.4,0.005
fqr1,root,1,1,1,0.005
fqr1,root,1,2,1.1,0.005
fqr1,root,2,1,0.9,0.005
fqr1,root,2,2,1.1,0.005
nqrfqr1,root,1,1,0.9,0.005
nqrfqr1,root,1,2,1.1,0.005
nqrfqr1,root,2,1,0.9,0.005
nqrfqr1,root,2,2,1,0.005
