genotype,part,rep_bio,rep_tech,pente1,pente2,protein
WT,shoot,1,1,0.0002,0.0136,10
WT,shoot,1,2,0.0001,0.014,10
WT,shoot,2,1,0.0001,0.0097,10
WT,shoot,2,2,0.0003,0.0089,10
nqr,shoot,1,1,0.0002,0.0134,10
nqr,shoot,1,2,-0.0001,0.0143,10
nqr,shoot,2,1,-0.0003,0.0062,10
nqr,shoot,2,2,-0.0002,0.0058,10
fqr1,shoot,1,1,-0.0003,0.0122,10
fqr1,shoot,1,2,-0.0001,0.0124,10
fqr1,shoot,2,1,-0.0004,0.0081,10
fqr1,shoot,2,2,-0.0002,0.0084,10
nqrfqr1,shoot,1,1,0.0001,0.0145,10
nqrfqr1,shoot,1,2,0,0.014,10
nqrfqr1,shoot,2,1,-0.0001,0.0106,10
nqrfqr1,shoot,2,2,-0.0002,0.0103,10
WT,root,1,1,-0.0001,0.1286,1
WT,root,1,2,0,0.1262,1
WT,root,2,1,-0.0001,0.1176,1
WT,root,2,2,-0.0004,0.0972,1
nqr,root,1,1,-0.0003,0.1205,1
nqr,root,1,2,-0.0002,0.1195,1
nqr,root,2,1,-0.0004,0.1382,1
nqr,root,2,2,-0.0003,0.1233,1
fqr1,root,1,1,0,0.1168,1
fqr1,root,1,2,0.0002,0.1136,1
fqr1,root,2,1,-0.0002,0.1297,1
fqr1,root,2,2,-0.0002,0.1301,1
nqrfqr1,root,1,1,0.0001,0.1659,1
nqrfqr1,root,1,2,-0.0002,0.1617,1
nqrfqr1,root,2,1,-0.0004,0.1444,1
nqrfqr1,root,2,2,0,0.141,1
