genotype,ecotype,repBIO,repTech,pente,protein
WT,Ler,1,1,0.5,0.0056
WT,Ler,1,2,0.5,0.0056
nqr,Ler,1,1,0.7,0.0097
nqr,Ler,1,2,0.8,0.0097
air12,Ler,1,1,0.7,0.0046
air12,Ler,1,2,0.8,0.0046
nqrair12,Ler,1,1,1.3,0.0116
nqrair12,Ler,1,2,1.2,0.0116
WT,Col,1,1,0.9,0.007
WT,Col,1,2,0.9,0.007
nqr,Col,1,1,1.2,0.0083
nqr,Col,1,2,1.1,0.0083
WT,Ler,2,1,0.7,0.006
WT,Ler,2,2,0.7,0.006
nqr,Ler,2,1,0.9,0.0044
nqr,Ler,2,2,0.5,0.0044
air12,Ler,2,1,1.2,0.0071
air12,Ler,2,2,1.2,0.0071
nqrair12,Ler,2,1,1.4,0.0111
nqrair12,Ler,2,2,1.4,0.0111
WT,Col,2,1,0.5,0.0073
WT,Col,2,2,0.5,0.0073
nqr,Col,2,1,0.8,0.0076
nqr,Col,2,2,0.85,0.0076
WT,Ler,3,1,0.35,0.0064
WT,Ler,3,2,0.4,0.0064
nqr,Ler,3,1,0.7,0.0056
nqr,Ler,3,2,0.7,0.0056
air12,Ler,3,1,0.7,0.0047
air12,Ler,3,2,0.8,0.0047
nqrair12,Ler,3,1,1,0.008
nqrair12,Ler,3,2,1,0.008
WT,Col,3,1,0.7,0.0067
WT,Col,3,2,0.7,0.0067
nqr,Col,3,1,0.9,0.0103
nqr,Col,3,2,0.9,0.0103
