"","norm","genotype","repBio","repTech"
"1",1,"WT",1,1
"2",0.808247422680412,"nqr",1,1
"3",1.70434782608696,"air12",1,1
"4",1.2551724137931,"nqrair12",1,1
"5",1,"WT",1,2
"6",0.923711340206186,"nqr",1,2
"7",1.94782608695652,"air12",1,2
"8",1.15862068965517,"nqrair12",1,2
"9",1,"WT",2,1
"10",1.75324675324675,"nqr",2,1
"11",1.4486921529175,"air12",2,1
"12",1.08108108108108,"nqrair12",2,1
"13",1,"WT",2,2
"14",0.974025974025974,"nqr",2,2
"15",1.4486921529175,"air12",2,2
"16",1.08108108108108,"nqrair12",2,2
"17",1,"WT",3,1
"18",2.28571428571429,"nqr",3,1
"19",2.72340425531915,"air12",3,1
"20",2.28571428571429,"nqrair12",3,1
"21",1,"WT",3,2
"22",2,"nqr",3,2
"23",2.72340425531915,"air12",3,2
"24",2,"nqrair12",3,2
