genotype,imbibition,repetition,masse,mesure
blank,no,1,0,0.0215
B,no,1,0.0449,0.114
B_aged,no,1,0.0473,0.1633
Bs,no,1,0.0464,0.155
Bs_aged,no,1,0.0471,0.187
C,no,1,0.0434,0.1333
C_aged,no,1,0.0429,0.2136
Cs,no,1,0.0449,0.1737
Cs_aged,no,1,0.0455,0.236
blank,no,2,0,0.0158
B,no,2,0.047,0.1786
B_aged,no,2,0.046,0.1437
Bs,no,2,0.0478,0.1256
Bs_aged,no,2,0.0454,0.1236
C,no,2,0.0484,0.1327
C_aged,no,2,0.0452,0.2475
Cs,no,2,0.0468,0.158
Cs_aged,no,2,0.0457,0.2271
blank,no,3,0,0.0132
B,no,3,0.0469,0.0758
B_aged,no,3,0.0441,0.1904
Bs,no,3,0.0469,0.1423
Bs_aged,no,3,0.045,0.1784
C,no,3,0.0467,0.1552
C_aged,no,3,0.046,0.2192
Cs,no,3,0.0441,0.1917
Cs_aged,no,3,0.0465,0.2506
blank,early,1,0,-0.0011
B,early,1,0.0411,0.0269
B_aged,early,1,0.0452,0.0335
Bs,early,1,0.0521,0.0192
Bs_aged,early,1,0.0428,0.0302
C,early,1,0.038,0.0268
C_aged,early,1,0.0416,0.0433
Cs,early,1,0.0373,0.0253
Cs_aged,early,1,0.0396,0.0465
blank,early,2,0,0.0022
B,early,2,0.0457,0.0115
B_aged,early,2,0.0428,0.0204
Bs,early,2,0.0502,0.017
Bs_aged,early,2,0.0525,0.0217
C,early,2,0.0468,0.06
C_aged,early,2,0.0461,0.0122
Cs,early,2,0.0373,0.0124
Cs_aged,early,2,0.0385,0.0259
blank,early,3,0,0.0026
B,early,3,0.0476,0.0262
B_aged,early,3,0.0446,0.0204
Bs,early,3,0.0506,0.0205
Bs_aged,early,3,0.0418,0.0152
C,early,3,0.0396,0.0145
C_aged,early,3,0.0408,0.0166
Cs,early,3,0.0409,0.0175
Cs_aged,early,3,0.0385,0.0281
blank,early,4,0,0.0015
B,early,4,0.0346,0.0179
B_aged,early,4,0.036,0.0319
Bs,early,4,0.0387,0.0218
Bs_aged,early,4,0.0385,0.0159
C,early,4,0.0398,0.0171
C_aged,early,4,0.0339,0.0457
Cs,early,4,0.0346,0.0147
Cs_aged,early,4,0.0326,0.0306
blank,early,5,0,0.0009
B,early,5,0.0383,0.019
B_aged,early,5,0.036,0.0136
Bs,early,5,0.0442,0.013
Bs_aged,early,5,0.043,0.0153
C,early,5,0.0361,0.0175
C_aged,early,5,0.0361,0.0269
Cs,early,5,0.0397,0.0193
Cs_aged,early,5,0.0386,0.0429
blank,late,1,0,0.0006
B,late,1,0.0368,0.0499
B_aged,late,1,0.0361,0.0703
Bs,late,1,0.0469,0.0671
Bs_aged,late,1,0.0396,0.0813
C,late,1,0.0429,0.0522
C_aged,late,1,0.0443,0.1129
Cs,late,1,0.0373,0.038
Cs_aged,late,1,0.0406,0.1258
blank,late,2,0,0.0014
B,late,2,0.0338,0.0367
B_aged,late,2,0.0358,0.0417
Bs,late,2,0.0428,0.0401
Bs_aged,late,2,0.0446,0.0369
C,late,2,0.0372,0.0332
C_aged,late,2,0.0393,0.0602
Cs,late,2,0.0316,0.0213
Cs_aged,late,2,0.0323,0.0338
blank,late,3,0,0.0004
B,late,3,0.0375,0.016
B_aged,late,3,0.043,0.0189
Bs,late,3,0.0415,0.0194
Bs_aged,late,3,0.0412,0.0449
C,late,3,0.043,0.0375
C_aged,late,3,0.0443,0.088
Cs,late,3,0.0361,0.0298
Cs_aged,late,3,0.0372,0.0858
blank,late,4,0,-0.0016
B,late,4,0.0361,0.03
B_aged,late,4,0.034,0.0417
Bs,late,4,0.034,0.0266
Bs_aged,late,4,0.0359,0.037
C,late,4,0.0388,0.024
C_aged,late,4,0.0378,0.0846
Cs,late,4,0.0302,0.028
Cs_aged,late,4,0.0294,0.0753
blank,late,5,0,0.0008
B,late,5,0.0316,0.0224
B_aged,late,5,0.036,0.02
Bs,late,5,0.0366,0.0233
Bs_aged,late,5,0.0431,0.0252
C,late,5,0.0348,0.0228
C_aged,late,5,0.0478,0.0545
Cs,late,5,0.0286,0.0255
Cs_aged,late,5,0.0281,0.0378
