genotype,temperature,3days,7days,total
WT,25,55,55,55
WT,25,55,55,55
WT,25,45,45,47
nqr,25,52,52,55
nqr,25,55,55,55
nqr,25,52,52,55
air12,25,55,55,55
air12,25,55,55,55
air12,25,88,88,90
nqrair12,25,55,55,55
nqrair12,25,78,78,83
nqrair12,25,58,58,62
WT,20,55,55,55
WT,20,55,55,55
WT,20,55,55,55
nqr,20,55,55,55
nqr,20,55,55,55
nqr,20,55,55,55
air12,20,55,55,55
air12,20,55,55,55
air12,20,55,55,55
nqrair12,20,55,55,55
nqrair12,20,55,55,55
nqrair12,20,55,55,55
WT,15,66,66,71
WT,15,67,68,69
WT,15,55,55,55
nqr,15,76,78,81
nqr,15,61,66,69
nqr,15,61,63,64
air12,15,64,64,65
air12,15,61,63,66
air12,15,55,55,55
nqrair12,15,78,80,89
nqrair12,15,95,99,109
nqrair12,15,70,74,80
WT,10,18,51,52
WT,10,23,55,59
WT,10,25,55,56
nqr,10,46,69,73
nqr,10,50,75,86
nqr,10,36,73,76
air12,10,21,70,75
air12,10,29,89,90
air12,10,17,61,67
nqrair12,10,18,64,69
nqrair12,10,26,80,85
nqrair12,10,36,79,83
WT,5,0,15,48
WT,5,0,28,64
WT,5,0,25,68
WT,5,0,27,68
WT,5,0,50,56
WT,5,0,46,59
nqr,5,0,13,56
nqr,5,0,24,62
nqr,5,0,26,61
nqr,5,0,36,74
nqr,5,0,57,63
nqr,5,0,54,64
air12,5,0,15,74
air12,5,0,22,61
air12,5,0,22,77
air12,5,0,25,64
air12,5,0,62,74
air12,5,0,62,69
nqrair12,5,0,46,65
nqrair12,5,0,30,57
nqrair12,5,0,32,73
nqrair12,5,0,48,77
nqrair12,5,0,47,60
nqrair12,5,0,66,81
