Wavelength (nm),denature,natif
470,2.409720182,2.291446686
471.0400085,2.662078142,2.001049042
471.9400024,2.292202473,1.914546371
472.980011,2.138264894,2.074584961
474.019989,1.659346581,2.068642855
475.0700073,2.258266687,1.473232269
475.9700012,2.123035192,2.140438557
477.0100098,2.138313532,1.472526193
478.0499878,2.160829544,1.941590309
478.9500122,2.112554789,1.801820397
480,2.153356791,1.645394921
481.0599976,1.945157647,1.543291569
481.9599915,2.195855856,1.456796527
483.0299988,2.377499819,1.563913345
483.9299927,2.07978344,1.401768565
485,2.705596685,1.809046865
486.0599976,2.973982573,1.115003586
486.9599915,3.320977211,1.481015086
488.0299988,3.060864449,1.248735785
488.9299927,3.713913202,1.333806038
490,3.428261518,1.328773379
491.0400085,2.74088645,1.843172073
491.9400024,3.748809814,1.316334248
492.980011,3.641437769,1.483473659
494.019989,3.698213339,0.827193558
495.0700073,3.86649394,1.065600514
495.9700012,3.823911667,0.902997494
497.0100098,4.116653919,1.105053067
498.0499878,4.633929729,1.048323512
498.9500122,4.299612522,0.755094349
500,4.254117489,0.72835964
501.0400085,5.178246021,0.703644037
501.9400024,5.834241867,0.667729616
502.980011,5.757341862,1.509620667
504.019989,5.929679871,0.784280002
505.0700073,6.933899403,0.695839882
505.9700012,6.801661015,1.243769765
507.0100098,6.232566357,0.997142851
508.0499878,6.691232681,0.757478058
508.9500122,7.733739376,1.055974722
510,6.504694462,0.792844117
511.0599976,7.837208271,0.73164779
511.9599915,8.20711422,1.142142653
513.0300293,7.153123856,1.024067402
513.9299927,8.129875183,0.802703857
515,7.442052364,1.148861051
516.0599976,7.774349213,0.844296932
516.960022,7.831280231,0.828550637
518.0300293,7.213682652,0.516403377
518.9299927,7.388868809,0.618445396
520,7.63772583,1.002374649
521.0200195,8.621720314,0.589063168
522.0499878,8.122313499,0.943671227
522.9400024,8.057051659,0.758156598
523.9699707,8.516990662,0.802727044
525,9.665291786,0.688318253
526.0200195,8.696404457,0.743071318
527.0499878,8.164946556,0.650667727
527.9400024,8.053788185,0.83085078
528.9699707,9.010346413,0.880530655
530,9.012023926,0.636454344
531.039978,7.750862598,0.83989352
531.9400024,6.635889053,0.695470989
532.9799805,8.995960236,0.90587759
534.0200195,8.230131149,0.468577057
535.0700073,9.55015564,0.957736671
535.9699707,7.85021019,0.522893667
537.0100098,8.023265839,0.945473671
538.0499878,8.173177719,0.666620255
538.9500122,7.096819401,0.728331506
540,7.700109959,0.840538919
541.039978,8.323214531,0.721598446
541.9400024,6.973618984,0.449087024
542.9799805,8.48076725,0.861215174
544.0200195,6.769091129,1.120034218
545.0700073,7.001389027,0.960284054
545.9699707,6.079311371,0.447271466
547.0100098,6.864994526,0.47989884
548.0499878,7.268455505,0.601764619
548.9500122,6.732059956,0.521647036
550,6.175700665,0.708249986
551.0200195,7.500302792,0.681693256
552.0499878,6.592746735,0.574175417
552.9400024,6.652627468,0.449606985
553.9699707,6.302984238,0.434413821
555,6.435587406,0.364487082
556.0200195,6.11998415,0.3248353
557.0499878,5.78593874,0.308618665
557.9400024,5.663453579,0.892401934
558.9699707,6.190158844,0.248355106
560,6.105697632,0.448943883
561.039978,5.91226387,0.835080445
561.9400024,5.93436861,0.382848948
562.9799805,5.463691711,0.623059213
564.0200195,5.057555676,0.511259794
565.0700073,5.299983978,0.520625055
565.9699707,4.468101501,0.374995947
567.0100098,4.765758038,0.600537717
568.0499878,4.891002178,0.496121496
568.9500122,4.343062401,0.628630638
570,4.561326504,0.390973598
571.0200195,4.536848545,0.332609683
572.0499878,3.654720306,0.532278478
572.9400024,4.451358795,0.569010437
573.9699707,4.003258228,0.333441645
575,3.864455462,0.690827549
576.0200195,3.821595907,0.389435798
577.0499878,4.309092045,0.345353991
577.9400024,3.613909006,0.325101703
578.9699707,4.380832195,-0.033613414
580,3.963936806,0.608985066
581.0200195,2.977120161,0.240519866
582.0499878,3.149267197,0.247065127
582.9400024,3.329082489,0.228130639
583.9699707,3.120459318,0.403022647
585,3.662096739,0.061397448
586.0200195,2.984919786,0.334778398
587.0499878,2.086567163,0.249658525
587.9400024,2.477967024,0.440241963
588.9699707,3.080766439,0.397945851
590,2.465844154,0.547350049
591.0200195,2.503054857,0.31903103
592.0499878,3.190539598,0.394766808
592.9400024,2.319927454,0.207700446
593.9699707,2.4421134,0.134394094
595,2.265140772,0.318188727
596.0200195,2.795375824,0.394916773
597.0499878,2.01866889,0.504972994
597.9400024,2.212867975,0.138594121
598.9699707,2.125964403,0.291261941
600,2.290694714,0.207948938
