FMN,penteI,penteF
0,"-0,0035","-0,1515"
0,"-0,0004","-0,1279"
0,"0,0025","-0,1254"
5,"-0,0038","-0,1497"
5,"-0,0022","-0,134"
5,"-0,0028","-0,1426"
25,"-0,0056","-0,1744"
25,"-0,0075","-0,1511"
25,"-0,0061","-0,1559"
50,"-0,0022","-0,1839"
50,"-0,0015","-0,1898"
50,"0,0013","-0,1769"
100,"-0,0024","-0,2071"
100,"-0,0022","-0,2086"
100,"-0,0036","-0,2029"
250,"-0,0128","-0,2212"
250,"-0,0056","-0,2098"
250,"-0,0035","-0,2139"
500,"0,0005","-0,2448"
500,"0,0016","-0,2418"
500,"-0,0085","-0,2322"
0,"-0,0004","-0,1257"
0,"-0,0009","-0,1299"
0,"-0,0015","-0,1226"
0,"-0,0007","-0,18"
1000,"-0,0013","-0,3217"
25,"-0,0019","-0,1549"
500,"0,0004","-0,2196"
100,"-0,0012","-0,1876"
5,0,"-0,1437"
250,"0,0002","-0,1964"
750,"-0,0011","-0,2621"
0,"-0,0008","-0,2039"
1000,"-0,0033","-0,3445"
25,"0,0027","-0,1973"
5,"-0,0014","-0,1822"
250,"-0,0022","-0,2739"
0,"-0,0047","-0,1373"
2000,"-0,006","-0,3222"
5,"-0,0038","-0,1722"
1000,"-0,0032","-0,3135"
25,"-0,0048","-0,1549"
500,"-0,003","-0,2366"
100,"-0,0035","-0,2321"
250,"-0,0036","-0,1989"
750,"-0,0002","-0,2685"
0,"-0,0034","-0,1428"
1000,"-0,0021","-0,3218"
25,"0,0056","-0,1688"
500,"-0,0002","-0,261"
100,"-0,0023","-0,2203"
5,"-0,004","-0,14"
250,"-0,0015","-0,2421"
750,"-0,0037","-0,2736"
1500,"-0,0036","-0,2786"
2000,"-0,0037","-0,282"
3000,"-0,0068","-0,268"
10000,"-0,0028","-0,252"
