genotype,temps,germination
WT,0,0
WT,0,0
WT,0,0
WT,0,0
nqr,0,0
nqr,0,0
nqr,0,0
nqr,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
fqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
nqrfqr1,0,0
WT,24,0
WT,24,0
WT,24,0
WT,24,3.6
nqr,24,0
nqr,24,3.6
nqr,24,0
nqr,24,0
fqr1,24,0
fqr1,24,0
fqr1,24,0
fqr1,24,0
nqrfqr1,24,0
nqrfqr1,24,5.5
nqrfqr1,24,0
nqrfqr1,24,0
WT,29,0
WT,29,1.8
WT,29,0
WT,29,9.1
nqr,29,1.8
nqr,29,5.5
nqr,29,1.8
nqr,29,3.6
fqr1,29,7.4
fqr1,29,3.6
fqr1,29,3.7
fqr1,29,3.6
nqrfqr1,29,0
nqrfqr1,29,12.7
nqrfqr1,29,7.3
nqrfqr1,29,0
WT,45,3.6
WT,45,1.8
WT,45,7.3
WT,45,18.2
nqr,45,1.8
nqr,45,10.9
nqr,45,22.2
nqr,45,23.6
fqr1,45,11.1
fqr1,45,5.4
fqr1,45,9.3
fqr1,45,12.7
nqrfqr1,45,1.8
nqrfqr1,45,14.5
nqrfqr1,45,12.7
nqrfqr1,45,11.1
WT,52,3.6
WT,52,1.8
WT,52,7.3
WT,52,18.2
nqr,52,1.8
nqr,52,10.9
nqr,52,22.2
nqr,52,27.3
fqr1,52,11.1
fqr1,52,5.4
fqr1,52,9.3
fqr1,52,14.5
nqrfqr1,52,1.8
nqrfqr1,52,14.5
nqrfqr1,52,12.7
nqrfqr1,52,13
WT,69,3.6
WT,69,1.8
WT,69,7.3
WT,69,18.2
nqr,69,1.8
nqr,69,10.9
nqr,69,22.2
nqr,69,29.1
fqr1,69,11.1
fqr1,69,5.4
fqr1,69,9.3
fqr1,69,14.5
nqrfqr1,69,1.8
nqrfqr1,69,14.5
nqrfqr1,69,12.7
nqrfqr1,69,13
WT,76,3.6
WT,76,1.8
WT,76,7.3
WT,76,18.2
nqr,76,1.8
nqr,76,10.9
nqr,76,22.2
nqr,76,29.1
fqr1,76,11.1
fqr1,76,5.4
fqr1,76,11.1
fqr1,76,16.4
nqrfqr1,76,1.8
nqrfqr1,76,14.5
nqrfqr1,76,12.7
nqrfqr1,76,13
WT,93,3.6
WT,93,1.8
WT,93,9.1
WT,93,18.2
nqr,93,1.8
nqr,93,12.7
nqr,93,22.2
nqr,93,29.1
fqr1,93,13
fqr1,93,5.4
fqr1,93,11.1
fqr1,93,16.4
nqrfqr1,93,1.8
nqrfqr1,93,14.5
nqrfqr1,93,12.7
nqrfqr1,93,13
